Bug_ID,Date_Detected,Environment,Detected_By,Agent_ID,Severity,Application_Platform
B2001,2026-01-28 10:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2002,2026-02-12 13:00:00,UAT,QA Team,A15,Major,Non-Salesforce Native
B2003,2026-02-05 15:00:00,Production,Client User,A20,Minor,Salesforce Flows
B2004,2026-01-06 10:00:00,UAT,QA Team,A15,Major,Non-Salesforce Native
B2005,2026-02-03 14:00:00,UAT,QA Team,A45,Major,Non-Salesforce Native
B2006,2026-02-22 16:00:00,Production,Client User,A05,Critical,Non-Salesforce Native
B2007,2026-01-19 10:00:00,UAT,QA Team,A45,Minor,Salesforce Flows
B2008,2026-04-16 12:00:00,UAT,QA Team,A45,Major,Salesforce Flows
B2009,2026-03-07 14:00:00,UAT,QA Team,A10,Major,Non-Salesforce Native
B2010,2026-04-15 16:00:00,UAT,QA Team,A20,Critical,Non-Salesforce Native
B2011,2026-04-14 13:00:00,Production,Client User,A20,Critical,Non-Salesforce Native
B2012,2026-01-27 09:00:00,UAT,QA Team,A40,Minor,Salesforce Flows
B2013,2026-02-14 10:00:00,Production,Client User,A40,Critical,Non-Salesforce Native
B2014,2026-03-16 14:00:00,Production,Client User,A45,Major,Non-Salesforce Native
B2015,2026-03-12 12:00:00,UAT,QA Team,A05,Critical,Salesforce Flows
B2016,2026-02-03 13:00:00,UAT,QA Team,A35,Minor,Salesforce Flows
B2017,2026-01-28 11:00:00,UAT,QA Team,A40,Major,Salesforce Flows
B2018,2026-03-09 15:00:00,UAT,QA Team,A45,Minor,Non-Salesforce Native
B2019,2026-04-04 11:00:00,Production,Client User,A40,Minor,Non-Salesforce Native
B2020,2026-04-30 12:00:00,UAT,QA Team,A05,Minor,Salesforce Flows
B2021,2026-03-19 13:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2022,2026-04-05 15:00:00,Production,Client User,A10,Major,Non-Salesforce Native
B2023,2026-03-16 10:00:00,UAT,QA Team,A25,Major,Salesforce Flows
B2024,2026-03-14 16:00:00,Production,Client User,A50,Critical,Non-Salesforce Native
B2025,2026-03-16 14:00:00,UAT,QA Team,A50,Critical,Salesforce Flows
B2026,2026-02-05 14:00:00,Production,Client User,A45,Minor,Non-Salesforce Native
B2027,2026-02-24 09:00:00,UAT,QA Team,A30,Critical,Salesforce Flows
B2028,2026-02-15 12:00:00,Production,Client User,A50,Major,Salesforce Flows
B2029,2026-02-26 15:00:00,UAT,QA Team,A15,Critical,Salesforce Flows
B2030,2026-03-19 12:00:00,UAT,QA Team,A30,Minor,Non-Salesforce Native
B2031,2026-01-21 13:00:00,UAT,QA Team,A30,Major,Salesforce Flows
B2032,2026-03-16 11:00:00,UAT,QA Team,A50,Major,Non-Salesforce Native
B2033,2026-01-29 11:00:00,Production,Client User,A45,Minor,Salesforce Flows
B2034,2026-02-17 11:00:00,UAT,QA Team,A15,Minor,Salesforce Flows
B2035,2026-02-28 09:00:00,UAT,QA Team,A40,Minor,Salesforce Flows
B2036,2026-02-26 16:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2037,2026-03-21 16:00:00,UAT,QA Team,A20,Minor,Non-Salesforce Native
B2038,2026-04-20 13:00:00,Production,Client User,A35,Critical,Non-Salesforce Native
B2039,2026-03-07 10:00:00,Production,Client User,A40,Major,Non-Salesforce Native
B2040,2026-03-23 09:00:00,Production,Client User,A15,Minor,Non-Salesforce Native
B2041,2026-02-22 16:00:00,Production,Client User,A35,Critical,Non-Salesforce Native
B2042,2026-03-26 15:00:00,UAT,QA Team,A35,Major,Salesforce Flows
B2043,2026-04-10 16:00:00,Production,Client User,A25,Major,Salesforce Flows
B2044,2026-02-15 13:00:00,UAT,QA Team,A40,Major,Salesforce Flows
B2045,2026-01-14 15:00:00,UAT,QA Team,A05,Major,Salesforce Flows
B2046,2026-03-05 14:00:00,Production,Client User,A35,Critical,Non-Salesforce Native
B2047,2026-03-09 12:00:00,UAT,QA Team,A40,Minor,Salesforce Flows
B2048,2026-02-01 15:00:00,UAT,QA Team,A50,Minor,Non-Salesforce Native
B2049,2026-03-31 11:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2050,2026-02-11 12:00:00,UAT,QA Team,A30,Minor,Salesforce Flows
B2051,2026-02-11 12:00:00,UAT,QA Team,A45,Minor,Salesforce Flows
B2052,2026-02-20 13:00:00,Production,Client User,A40,Major,Non-Salesforce Native
B2053,2026-04-10 10:00:00,UAT,QA Team,A35,Major,Salesforce Flows
B2054,2026-01-03 13:00:00,UAT,QA Team,A10,Minor,Non-Salesforce Native
B2055,2026-03-14 14:00:00,UAT,QA Team,A25,Critical,Salesforce Flows
B2056,2026-01-07 09:00:00,UAT,QA Team,A50,Minor,Non-Salesforce Native
B2057,2026-01-30 15:00:00,UAT,QA Team,A40,Minor,Non-Salesforce Native
B2058,2026-02-28 12:00:00,Production,Client User,A05,Critical,Non-Salesforce Native
B2059,2026-02-13 15:00:00,UAT,QA Team,A15,Minor,Non-Salesforce Native
B2060,2026-04-23 09:00:00,Production,Client User,A30,Minor,Non-Salesforce Native
B2061,2026-02-10 15:00:00,UAT,QA Team,A30,Minor,Non-Salesforce Native
B2062,2026-01-31 16:00:00,UAT,QA Team,A50,Minor,Non-Salesforce Native
B2063,2026-01-06 12:00:00,UAT,QA Team,A45,Minor,Salesforce Flows
B2064,2026-04-20 15:00:00,Production,Client User,A10,Minor,Non-Salesforce Native
B2065,2026-04-25 15:00:00,UAT,QA Team,A20,Minor,Salesforce Flows
B2066,2026-01-28 10:00:00,UAT,QA Team,A25,Major,Non-Salesforce Native
B2067,2026-03-10 14:00:00,Production,Client User,A10,Critical,Salesforce Flows
B2068,2026-01-25 14:00:00,Production,Client User,A30,Critical,Non-Salesforce Native
B2069,2026-02-01 12:00:00,UAT,QA Team,A05,Major,Salesforce Flows
B2070,2026-03-30 10:00:00,UAT,QA Team,A25,Major,Non-Salesforce Native
B2071,2026-01-17 13:00:00,Production,Client User,A25,Minor,Salesforce Flows
B2072,2026-03-17 12:00:00,UAT,QA Team,A45,Critical,Non-Salesforce Native
B2073,2026-04-30 16:00:00,UAT,QA Team,A25,Minor,Salesforce Flows
B2074,2026-03-31 10:00:00,UAT,QA Team,A05,Minor,Non-Salesforce Native
B2075,2026-01-21 14:00:00,Production,Client User,A25,Critical,Non-Salesforce Native
B2076,2026-01-21 16:00:00,UAT,QA Team,A10,Major,Non-Salesforce Native
B2077,2026-01-15 10:00:00,Production,Client User,A20,Minor,Non-Salesforce Native
B2078,2026-04-27 14:00:00,UAT,QA Team,A45,Minor,Salesforce Flows
B2079,2026-02-25 13:00:00,UAT,QA Team,A40,Minor,Non-Salesforce Native
B2080,2026-01-04 09:00:00,UAT,QA Team,A50,Minor,Non-Salesforce Native
