Ticket_ID,Date_Created,Date_Closed,Agent_ID,Unit_ID,Priority,Resolution_Time_Hours,SLA_Status,Platform
T1001,2026-04-13 11:28:00,2026-04-13 12:49:36,A15,U05,Medium,1.36,Within SLA,Salesforce Flows
T1002,2026-03-24 14:10:00,2026-03-24 15:32:48,A11,U01,High,1.38,Within SLA,Salesforce Core
T1003,2026-01-24 10:21:00,2026-01-24 10:42:36,A02,U02,Medium,0.36,Within SLA,Non-Salesforce Native
T1004,2026-03-05 12:32:00,2026-03-05 13:23:00,A12,U02,Medium,0.85,Within SLA,Salesforce Core
T1005,2026-02-18 17:27:00,2026-02-18 17:35:24,A16,U01,Low,0.14,Within SLA,Salesforce Core
T1006,2026-03-03 10:43:00,2026-03-03 12:25:36,A03,U03,High,1.71,Within SLA,Non-Salesforce Native
T1007,2026-03-14 14:17:00,2026-03-14 15:31:24,A04,U04,High,1.24,Within SLA,Salesforce Flows
T1008,2026-01-09 17:52:00,2026-01-09 19:35:12,A02,U02,Medium,1.72,Within SLA,Salesforce Core
T1009,2026-02-13 15:46:00,2026-02-13 16:04:00,A35,U05,High,0.3,Within SLA,Non-Salesforce Native
T1010,2026-01-04 09:05:00,2026-01-04 14:19:24,A42,U02,Medium,5.24,Out of SLA,Salesforce Core
T1011,2026-03-31 09:09:00,2026-03-31 12:58:12,A36,U01,Medium,3.82,Within SLA,Salesforce Core
T1012,2026-03-13 14:59:00,2026-03-13 15:27:12,A40,U05,High,0.47,Within SLA,Salesforce Flows
T1013,2026-02-22 15:25:00,2026-02-22 15:53:48,A25,U05,Low,0.48,Within SLA,Non-Salesforce Native
T1014,2026-01-29 08:24:00,2026-01-29 08:43:48,A07,U02,Medium,0.33,Within SLA,Salesforce Core
T1015,2026-03-29 10:16:00,2026-03-29 12:28:36,A08,U03,Medium,2.21,Within SLA,Non-Salesforce Native
T1016,2026-01-05 17:38:00,2026-01-05 20:29:00,A41,U01,High,2.85,Within SLA,Salesforce Core
T1017,2026-01-12 09:32:00,2026-01-12 11:11:36,A48,U03,Low,1.66,Within SLA,Non-Salesforce Native
T1018,2026-02-06 10:43:00,2026-02-06 11:40:36,A40,U05,Low,0.96,Within SLA,Salesforce Flows
T1019,2026-04-11 10:00:00,2026-04-11 10:26:24,A05,U05,Medium,0.44,Within SLA,Salesforce Flows
T1020,2026-01-27 16:14:00,2026-01-27 16:24:12,A15,U05,Low,0.17,Within SLA,Non-Salesforce Native
T1021,2026-03-04 14:48:00,2026-03-04 15:13:48,A32,U02,Medium,0.43,Within SLA,Salesforce Core
T1022,2026-04-19 11:12:00,2026-04-19 11:27:36,A32,U02,Medium,0.26,Within SLA,Salesforce Core
T1023,2026-03-07 17:44:00,2026-03-07 18:06:12,A06,U01,Medium,0.37,Within SLA,Salesforce Core
T1024,2026-03-25 17:54:00,2026-03-25 21:27:36,A28,U03,Low,3.56,Within SLA,Non-Salesforce Native
T1025,2026-01-01 16:26:00,2026-01-01 16:26:36,A13,U03,High,0.01,Within SLA,Non-Salesforce Native
T1026,2026-03-13 16:36:00,2026-03-13 17:13:12,A33,U03,Low,0.62,Within SLA,Non-Salesforce Native
T1027,2026-03-20 13:31:00,2026-03-20 14:11:48,A32,U02,Medium,0.68,Within SLA,Non-Salesforce Native
T1028,2026-04-23 17:51:00,2026-04-23 19:43:12,A12,U02,Low,1.87,Within SLA,Non-Salesforce Native
T1029,2026-04-11 08:55:00,2026-04-11 09:58:00,A17,U02,Low,1.05,Within SLA,Non-Salesforce Native
T1030,2026-02-23 14:36:00,2026-02-23 18:36:00,A32,U02,High,4.0,Out of SLA,Salesforce Core
T1031,2026-02-22 17:31:00,2026-02-22 19:11:12,A06,U01,Low,1.67,Within SLA,Salesforce Core
T1032,2026-03-16 15:58:00,2026-03-16 16:55:00,A17,U02,Medium,0.95,Within SLA,Non-Salesforce Native
T1033,2026-04-08 13:21:00,2026-04-08 15:45:00,A11,U01,High,2.4,Within SLA,Salesforce Core
T1034,2026-03-14 13:15:00,2026-03-14 13:50:24,A29,U04,High,0.59,Within SLA,Salesforce Flows
T1035,2026-02-05 10:25:00,2026-02-05 11:03:24,A03,U03,High,0.64,Within SLA,Non-Salesforce Native
T1036,2026-03-12 11:40:00,2026-03-12 12:45:24,A33,U03,Low,1.09,Within SLA,Non-Salesforce Native
T1037,2026-04-14 08:10:00,2026-04-14 08:31:00,A28,U03,Medium,0.35,Within SLA,Non-Salesforce Native
T1038,2026-01-31 17:34:00,2026-01-31 23:36:24,A07,U02,Medium,6.04,Out of SLA,Non-Salesforce Native
T1039,2026-04-26 08:01:00,2026-04-26 11:25:36,A01,U01,Low,3.41,Within SLA,Salesforce Core
T1040,2026-02-06 14:08:00,2026-02-06 16:04:24,A41,U01,Low,1.94,Within SLA,Salesforce Core
T1041,2026-01-03 11:23:00,2026-01-03 11:30:48,A33,U03,Medium,0.13,Within SLA,Non-Salesforce Native
T1042,2026-03-13 11:37:00,2026-03-13 12:19:00,A40,U05,Medium,0.7,Within SLA,Salesforce Flows
T1043,2026-03-30 10:24:00,2026-03-30 10:57:00,A29,U04,Low,0.55,Within SLA,Salesforce Flows
T1044,2026-03-07 13:34:00,2026-03-07 13:51:24,A16,U01,Critical,0.29,Within SLA,Salesforce Core
T1045,2026-03-09 08:13:00,2026-03-09 08:53:48,A21,U01,Low,0.68,Within SLA,Salesforce Core
T1046,2026-01-08 14:02:00,2026-01-08 14:11:00,A17,U02,Low,0.15,Within SLA,Non-Salesforce Native
T1047,2026-04-25 13:54:00,2026-04-25 19:41:24,A22,U02,Low,5.79,Out of SLA,Non-Salesforce Native
T1048,2026-02-20 13:07:00,2026-02-20 14:10:00,A27,U02,Medium,1.05,Within SLA,Salesforce Core
T1049,2026-01-28 08:04:00,2026-01-28 08:06:24,A48,U03,Low,0.04,Within SLA,Non-Salesforce Native
T1050,2026-02-18 08:43:00,2026-02-18 09:12:24,A28,U03,Medium,0.49,Within SLA,Non-Salesforce Native
T1051,2026-01-06 10:59:00,2026-01-06 11:35:00,A41,U01,Critical,0.6,Within SLA,Salesforce Core
T1052,2026-02-15 12:30:00,2026-02-15 13:01:12,A35,U05,Critical,0.52,Within SLA,Non-Salesforce Native
T1053,2026-03-26 14:32:00,2026-03-26 15:45:12,A03,U03,Low,1.22,Within SLA,Non-Salesforce Native
T1054,2026-04-05 13:57:00,2026-04-05 14:06:00,A03,U03,Medium,0.15,Within SLA,Non-Salesforce Native
T1055,2026-02-01 13:22:00,2026-02-01 16:31:00,A02,U02,Low,3.15,Out of SLA,Non-Salesforce Native
T1056,2026-01-17 15:32:00,2026-01-17 16:12:12,A09,U04,Medium,0.67,Within SLA,Salesforce Flows
T1057,2026-04-03 17:54:00,2026-04-03 20:55:48,A26,U01,High,3.03,Within SLA,Salesforce Core
T1058,2026-01-13 17:06:00,2026-01-13 18:40:12,A36,U01,High,1.57,Within SLA,Salesforce Core
